type,date,value,unit,position
BONE_PERCENT,"2025-10-12 10:45:50",4,
WATER_PERCENT,"2025-10-12 10:45:50",58,
FAT_PERCENT,"2025-10-02 07:34:49",14,
FAT_FREE_MASS,"2025-10-02 07:34:49",64,
"Fat Free Percent","2025-10-02 07:34:49",86,
MUSCLE_PERCENT,"2025-10-02 07:34:49",82,
BONE_PERCENT,"2025-10-02 07:34:49",4,
WATER_PERCENT,"2025-10-02 07:34:49",58,
FAT_PERCENT,"2025-09-30 11:33:01",13,
FAT_FREE_MASS,"2025-09-30 11:33:01",64,
"Fat Free Percent","2025-09-30 11:33:01",87,
MUSCLE_PERCENT,"2025-09-30 11:33:01",82,
BONE_PERCENT,"2025-09-30 11:33:01",4,
WATER_PERCENT,"2025-09-30 11:33:01",59,
FAT_PERCENT,"2025-09-20 07:59:40",13,
FAT_FREE_MASS,"2025-09-20 07:59:40",63,
"Fat Free Percent","2025-09-20 07:59:40",87,
MUSCLE_PERCENT,"2025-09-20 07:59:40",82,
BONE_PERCENT,"2025-09-20 07:59:40",4,
WATER_PERCENT,"2025-09-20 07:59:40",59,
FAT_PERCENT,"2025-09-05 08:53:03",13,
FAT_FREE_MASS,"2025-09-05 08:53:03",62,
"Fat Free Percent","2025-09-05 08:53:03",87,
MUSCLE_PERCENT,"2025-09-05 08:53:03",83,
BONE_PERCENT,"2025-09-05 08:53:03",4,
WATER_PERCENT,"2025-09-05 08:53:03",59,
FAT_PERCENT,"2025-09-04 08:04:20",13,
FAT_FREE_MASS,"2025-09-04 08:04:20",62,
"Fat Free Percent","2025-09-04 08:04:20",87,
MUSCLE_PERCENT,"2025-09-04 08:04:20",82,
BONE_PERCENT,"2025-09-04 08:04:20",4,
WATER_PERCENT,"2025-09-04 08:04:20",58,
FAT_PERCENT,"2025-09-02 07:58:02",13,
FAT_FREE_MASS,"2025-09-02 07:58:02",63,
"Fat Free Percent","2025-09-02 07:58:02",87,
MUSCLE_PERCENT,"2025-09-02 07:58:02",83,
BONE_PERCENT,"2025-09-02 07:58:02",4,
WATER_PERCENT,"2025-09-02 07:58:02",59,
FAT_PERCENT,"2025-08-31 08:21:25",13,
FAT_FREE_MASS,"2025-08-31 08:21:25",64,
"Fat Free Percent","2025-08-31 08:21:25",87,
MUSCLE_PERCENT,"2025-08-31 08:21:25",83,
BONE_PERCENT,"2025-08-31 08:21:25",4,
WATER_PERCENT,"2025-08-31 08:21:25",59,
FAT_PERCENT,"2025-08-29 07:41:56",13,
FAT_FREE_MASS,"2025-08-29 07:41:56",64,
"Fat Free Percent","2025-08-29 07:41:56",87,
MUSCLE_PERCENT,"2025-08-29 07:41:56",82,
BONE_PERCENT,"2025-08-29 07:41:56",4,
WATER_PERCENT,"2025-08-29 07:41:56",59,
FAT_PERCENT,"2025-08-25 16:58:51",13,
FAT_FREE_MASS,"2025-08-25 16:58:51",63,
"Fat Free Percent","2025-08-25 16:58:51",87,
MUSCLE_PERCENT,"2025-08-25 16:58:51",83,
BONE_PERCENT,"2025-08-25 16:58:51",4,
WATER_PERCENT,"2025-08-25 16:58:51",59,
FAT_PERCENT,"2025-08-24 09:57:18",13,
FAT_FREE_MASS,"2025-08-24 09:57:18",63,
"Fat Free Percent","2025-08-24 09:57:18",87,
MUSCLE_PERCENT,"2025-08-24 09:57:18",82,
BONE_PERCENT,"2025-08-24 09:57:18",4,
WATER_PERCENT,"2025-08-24 09:57:18",59,
FAT_PERCENT,"2025-08-24 09:50:16",13,
