date,value
"2023-09-09 11:27:27",5.7
"2023-07-03 00:02:41",5.5
"2022-11-22 01:09:11",5.8
"2022-09-18 00:54:21",5.7
"2022-09-08 11:24:34",6.2
"2022-08-25 13:56:04",5.8
"2022-08-25 10:43:31",5.7
"2022-08-23 10:59:41",5.6
"2022-08-22 11:31:03",5.5
"2022-08-22 09:58:57",5.5
"2022-08-18 12:56:46",6.4
"2022-08-17 14:44:30",6.2
"2022-08-17 10:58:51",6.0
